Step,AgentID,Angle,Vision,Separation,CohereFactor,SeparateFactor,MatchFactor,NeighborDiffSum
0,1,5.9560394920154165,10,2,0.03,0.015,0.05,"[0, 0]"
0,2,3.7840219570898,10,2,0.03,0.015,0.05,"[0, 0]"
0,3,4.255822247514709,10,2,0.03,0.015,0.05,"[0, 0]"
0,4,6.053889996448328,10,2,0.03,0.015,0.05,"[0, 0]"
0,5,5.784104798941732,10,2,0.03,0.015,0.05,"[0, 0]"
0,6,2.462660976415279,10,2,0.03,0.015,0.05,"[0, 0]"
0,7,1.136574053977665,10,2,0.03,0.015,0.05,"[0, 0]"
0,8,5.439042874195194,10,2,0.03,0.015,0.05,"[0, 0]"
0,9,5.706253701873177,10,2,0.03,0.015,0.05,"[0, 0]"
0,10,5.943199870136244,10,2,0.03,0.015,0.05,"[0, 0]"
0,11,3.381252327586682,10,2,0.03,0.015,0.05,"[0, 0]"
0,12,5.687498140103302,10,2,0.03,0.015,0.05,"[0, 0]"
0,13,3.6156108868040198,10,2,0.03,0.015,0.05,"[0, 0]"
0,14,1.9594895121566136,10,2,0.03,0.015,0.05,"[0, 0]"
0,15,2.2806882854948194,10,2,0.03,0.015,0.05,"[0, 0]"
0,16,6.09526121435548,10,2,0.03,0.015,0.05,"[0, 0]"
0,17,3.7546026684227236,10,2,0.03,0.015,0.05,"[0, 0]"
0,18,1.4486896625821322,10,2,0.03,0.015,0.05,"[0, 0]"
0,19,1.145190900315861,10,2,0.03,0.015,0.05,"[0, 0]"
0,20,3.8920194241182275,10,2,0.03,0.015,0.05,"[0, 0]"
1,1,5.9560394920154165,10,2,0.03,0.015,0.05,"[0, 0]"
1,2,5.506618480094934,10,2,0.03,0.015,0.05,"[-2.0301087904731503, 8.340629700047042]"
1,3,4.36297146398292,10,2,0.03,0.015,0.05,"[7.002350871271574, 4.863930026343931]"
1,4,6.053889996448328,10,2,0.03,0.015,0.05,"[0, 0]"
1,5,5.784104798941732,10,2,0.03,0.015,0.05,"[0, 0]"
1,6,2.3707885907512676,10,2,0.03,0.015,0.05,"[-2.6165213237117513, 10.264670621123889]"
1,7,1.136574053977665,10,2,0.03,0.015,0.05,"[0, 0]"
1,8,5.389148955618759,10,2,0.03,0.015,0.05,"[-5.819719367443497, -5.036321855929827]"
1,9,5.489681277200804,10,2,0.03,0.015,0.05,"[2.73094338070495, -7.627305876573706]"
1,10,5.943199870136244,10,2,0.03,0.015,0.05,"[0, 0]"
1,11,3.381252327586682,10,2,0.03,0.015,0.05,"[0, 0]"
1,12,5.44649152628048,10,2,0.03,0.015,0.05,"[-3.2033972347316393, -16.53065250882863]"
1,13,3.6156108868040198,10,2,0.03,0.015,0.05,"[0, 0]"
1,14,1.9594895121566136,10,2,0.03,0.015,0.05,"[0, 0]"
1,15,2.2806882854948194,10,2,0.03,0.015,0.05,"[0, 0]"
1,16,6.09526121435548,10,2,0.03,0.015,0.05,"[0, 0]"
1,17,4.067081101044259,10,2,0.03,0.015,0.05,"[6.599325306217864, 5.662592229033765]"
1,18,1.4486896625821322,10,2,0.03,0.015,0.05,"[0, 0]"
1,19,1.145190900315861,10,2,0.03,0.015,0.05,"[0, 0]"
1,20,3.8920194241182275,10,2,0.03,0.015,0.05,"[0, 0]"
2,1,5.9560394920154165,10,2,0.03,0.015,0.05,"[0, 0]"
2,2,5.687983616522445,10,2,0.03,0.015,0.05,"[-2.018128179182405, 8.328657777175943]"
2,3,4.461451940445347,10,2,0.03,0.015,0.05,"[5.168926316567237, 5.501201612075199]"
2,4,6.053889996448328,10,2,0.03,0.015,0.05,"[0, 0]"
2,5,5.784104798941732,10,2,0.03,0.015,0.05,"[0, 0]"
2,6,2.350853990223951,10,2,0.03,0.015,0.05,"[-0.9145167799727716, 2.0410520858296852]"
2,7,1.136574053977665,10,2,0.03,0.015,0.05,"[0, 0]"
2,8,5.276333965469132,10,2,0.03,0.015,0.05,"[-5.800410673723917, -6.264036665359399]"
2,9,5.276551229174621,10,2,0.03,0.015,0.05,"[2.5788039520944537, -7.500622344558792]"
2,10,5.943199870136244,10,2,0.03,0.015,0.05,"[0, 0]"
2,11,3.381252327586682,10,2,0.03,0.015,0.05,"[0, 0]"
2,12,5.235847206251748,10,2,0.03,0.015,0.05,"[-2.3170491986348054, -8.03887721819043]"
2,13,3.6156108868040198,10,2,0.03,0.015,0.05,"[0, 0]"
2,14,1.9594895121566136,10,2,0.03,0.015,0.05,"[0, 0]"
2,15,2.2806882854948194,10,2,0.03,0.015,0.05,"[0, 0]"
2,16,6.09526121435548,10,2,0.03,0.015,0.05,"[0, 0]"
2,17,4.370098027771414,10,2,0.03,0.015,0.05,"[6.645563675677039, 6.798561129990933]"
2,18,1.4486896625821322,10,2,0.03,0.015,0.05,"[0, 0]"
2,19,1.145190900315861,10,2,0.03,0.015,0.05,"[0, 0]"
2,20,3.8920194241182275,10,2,0.03,0.015,0.05,"[0, 0]"
3,1,5.886900658259985,10,2,0.03,0.015,0.05,"[6.450722387157668, 7.505377059307132]"
3,2,5.817350540560257,10,2,0.03,0.015,0.05,"[-1.7337671028533777, 8.035330417646072]"
3,3,4.551120334794609,10,2,0.03,0.015,0.05,"[3.3867886653760877, 5.794382996041316]"
3,4,6.053889996448328,10,2,0.03,0.015,0.05,"[0, 0]"
3,5,5.784104798941732,10,2,0.03,0.015,0.05,"[0, 0]"
3,6,2.3485217639026996,10,2,0.03,0.015,0.05,"[-5.281348215672978, -3.999073621889389]"
3,7,1.136574053977665,10,2,0.03,0.015,0.05,"[0, 0]"
3,8,5.111000807587953,10,2,0.03,0.015,0.05,"[-5.703575486611442, -7.1342071513600445]"
3,9,5.085417104949833,10,2,0.03,0.015,0.05,"[2.1829358803805476, -7.141883491805064]"
3,10,5.943199870136244,10,2,0.03,0.015,0.05,"[0, 0]"
3,11,3.381252327586682,10,2,0.03,0.015,0.05,"[0, 0]"
3,12,4.977732448606226,10,2,0.03,0.015,0.05,"[-2.1961204980933218, -8.69932601322402]"
3,13,3.6156108868040198,10,2,0.03,0.015,0.05,"[0, 0]"
3,14,1.9594895121566136,10,2,0.03,0.015,0.05,"[0, 0]"
3,15,2.2806882854948194,10,2,0.03,0.015,0.05,"[0, 0]"
3,16,6.09526121435548,10,2,0.03,0.015,0.05,"[0, 0]"
3,17,4.370098027771414,10,2,0.03,0.015,0.05,"[0, 0]"
3,18,1.4486896625821322,10,2,0.03,0.015,0.05,"[0, 0]"
3,19,1.145190900315861,10,2,0.03,0.015,0.05,"[0, 0]"
3,20,3.8920194241182275,10,2,0.03,0.015,0.05,"[0, 0]"
4,1,5.83544822897829,10,2,0.03,0.015,0.05,"[5.352217438765749, 5.881215016066706]"
4,2,5.9000764723043915,10,2,0.03,0.015,0.05,"[-1.2517078241761368, 7.506320464871411]"
4,3,4.62773157654536,10,2,0.03,0.015,0.05,"[1.6652310596480646, 5.676104182773038]"
4,4,6.053889996448328,10,2,0.03,0.015,0.05,"[0, 0]"
4,5,5.784104798941732,10,2,0.03,0.015,0.05,"[0, 0]"
4,6,2.352492840548604,10,2,0.03,0.015,0.05,"[-2.426980031441147, -1.7788796838754832]"
4,7,1.136574053977665,10,2,0.03,0.015,0.05,"[0, 0]"
4,8,4.880684819717756,10,2,0.03,0.015,0.05,"[-5.683187983871406, -7.857992548423313]"
4,9,4.922950210999287,10,2,0.03,0.015,0.05,"[1.6255135615003553, -6.57881344562924]"
4,10,5.943199870136244,10,2,0.03,0.015,0.05,"[0, 0]"
4,11,3.381252327586682,10,2,0.03,0.015,0.05,"[0, 0]"
4,12,4.698313664290109,10,2,0.03,0.015,0.05,"[-2.1647042828919894, -9.046123063072917]"
4,13,3.6156108868040198,10,2,0.03,0.015,0.05,"[0, 0]"
4,14,1.9594895121566136,10,2,0.03,0.015,0.05,"[0, 0]"
4,15,2.2806882854948194,10,2,0.03,0.015,0.05,"[0, 0]"
4,16,6.09526121435548,10,2,0.03,0.015,0.05,"[0, 0]"
4,17,4.370098027771414,10,2,0.03,0.015,0.05,"[0, 0]"
4,18,1.4486896625821322,10,2,0.03,0.015,0.05,"[0, 0]"
