Step,AgentID,Angle,NeighborInfo,run
1,1,0.8079340046416346,"[0.5, 0.25, 0.3, 0.8079340046416346, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,2,0.8783284929556927,"[0.5, 0.25, 0.3, 0.8783284929556927, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,3,0.5976597893268446,"[0.5, 0.25, 0.3, 0.5976597893268446, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,4,0.628981953627492,"[0.5, 0.25, 0.3, 0.6427955766637891, 0.48992850598172194, 0.4915898856776381, 0.26783812307325977, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0
1,5,0.7116777421808899,"[0.5, 0.25, 0.3, 0.7116777421808899, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,6,0.6432328438268266,"[0.5, 0.25, 0.3, 0.6432328438268266, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,7,0.9831820837687115,"[0.5, 0.25, 0.3, 0.9831820837687115, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,8,0.030844705690587317,"[0.5, 0.25, 0.3, 0.030844705690587317, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,9,0.35550996807736346,"[0.5, 0.25, 0.3, 0.35550996807736346, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,10,0.5407969710274779,"[0.5, 0.25, 0.3, 0.5508941005263434, 0.48866557651393444, 0.4984002635727623, 0.5265652859717287, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0
1,11,0.06736060324046486,"[0.5, 0.25, 0.3, 0.06736060324046486, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
