Step,AgentID,Angle,NeighborInfo,run
1,1,0.6261639052141218,"[0.7, 0.25, 0.3, 0.6261639052141218, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,2,0.7615711860663946,"[0.7, 0.25, 0.3, 0.7615711860663946, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,3,0.061877376266436294,"[0.7, 0.25, 0.3, 0.061877376266436294, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,4,0.8407539031044077,"[0.7, 0.25, 0.3, 0.8407539031044077, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,5,0.7020756849919806,"[0.7, 0.25, 0.3, 0.7145141041303865, 0.47287885549288095, 0.4799065455025214, 0.6508265808403617, 0.4168266125183648, 0.7220619858296821, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0
1,6,0.32322643057639666,"[0.7, 0.25, 0.3, 0.32322643057639666, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,7,0.13826136748318857,"[0.7, 0.25, 0.3, 0.13826136748318857, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,8,0.5994069875427985,"[0.7, 0.25, 0.3, 0.6040032257435042, 0.4887016763738495, 0.4987847518621631, 0.022828613944045, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0
1,9,0.4258985093244034,"[0.7, 0.25, 0.3, 0.4168266125183648, 0.503976202871434, 0.5084818053929562, 0.7220619858296821, 0.6508265808403617, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",0
1,10,0.238408486058268,"[0.7, 0.25, 0.3, 0.238408486058268, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,11,0.35531723907246804,"[0.7, 0.25, 0.3, 0.35531723907246804, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,12,0.7533299791670509,"[0.7, 0.25, 0.3, 0.7513834967277967, 0.5074534664745147, 0.49668822895168224, 0.9220715663495688, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0
1,13,0.23351099742879294,"[0.7, 0.25, 0.3, 0.22903892581679514, 0.4735794433211533, 0.4870212370506423, 0.061877376266436294, 0.516190209246306, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",0
1,14,0.22065737742446756,"[0.7, 0.25, 0.3, 0.22065737742446756, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,15,0.9608489910429537,"[0.7, 0.25, 0.3, 0.9728053177082473, 0.5189721230658345, 0.5027252265992883, 0.03847527588710115, 0.34356463142033683, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",0
1,16,0.13577494718405847,"[0.7, 0.25, 0.3, 0.13577494718405847, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,17,0.23998470444281694,"[0.7, 0.25, 0.3, 0.23998470444281694, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,18,0.4478055391702997,"[0.7, 0.25, 0.3, 0.4478055391702997, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,19,0.33225405091688015,"[0.7, 0.25, 0.3, 0.34356463142033683, 0.4796848095988452, 0.4941469159138711, 0.03847527588710115, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0
1,20,0.05318463483385297,"[0.7, 0.25, 0.3, 0.03847527588710115, 0.4913353193723368, 0.48938255931415553, 0.33225405091688015, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0
1,21,0.6603697554546528,"[0.7, 0.25, 0.3, 0.6603697554546528, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,22,0.48489043030123746,"[0.7, 0.25, 0.3, 0.516190209246306, 0.49374943672605925, 0.49909419401066685, 0.061877376266436294, 0.23351099742879294, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",0
1,23,0.022828613944045,"[0.7, 0.25, 0.3, 0.022828613944045, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
