Step,AgentID,NormDir,NeighborInfo,run
1,1,[0.62562155 0.78012671],"[0.7, 0.65, 0.7, 0.04997423773569043, 0.05130802266685364, 0.43636175194242555, 0.4925122470976863, -0.7701088760648925, 0.6379124697057331, 0.6107939927734671, -0.7917895543588875, -0.46380967660086814, 0.8859348643615953, 0.7754958167917971, 0.6313527050218629, 0.0, 0.0]",0
1,2,[0.36945878 0.92924712],"[0.7, 0.65, 0.7, 0.2415186482808207, 0.8195905696768648, 0.5378993471554784, 0.4623419716884525, 0.5137349920210175, 0.8579489250375951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,3,[0.47777166 0.87848406],"[0.7, 0.65, 0.7, 0.9463381801459834, 0.7704402228400948, 0.49816997683778613, 0.5031959742456109, -0.8116576880128076, -0.5841333730319678, 0.6107939927734671, -0.7917895543588875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,4,[0.64603183 0.76331047],"[0.7, 0.65, 0.7, -0.7954002317950986, 0.29738672712547, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,5,[0.49753925 0.86744146],"[0.7, 0.65, 0.7, 0.7084416287800859, -0.6189669922582788, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,6,[0.55070888 0.83469738],"[0.7, 0.65, 0.7, 0.9338523218958013, -0.17296832621357328, 0.4705208689327672, 0.47716460058225363, -0.6600206555977598, -0.7512474520318212, 0.8259716635682971, -0.5637116381468631, -0.49932062942078786, 0.8664172834349673, 0.0, 0.0, 0.0, 0.0]",0
1,7,[0.54255133 0.84002265],"[0.7, 0.65, 0.7, 0.6265431194026239, -0.7415580814875036, 0.5420648881580871, 0.5339353915160908, 0.7668869298706507, -0.6417822347132771, 0.6864557540335741, 0.727171573807858, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,8,[0.51803408 0.85535998],"[0.7, 0.65, 0.7, -0.9286742796185126, 0.7692586355980642, 0.39395165252771375, 0.43398224142011743, -0.8152232319871953, 0.5791468570478058, -0.214105580368762, -0.9768105243367086, 0.7793295594127545, 0.6266142655777334, -0.46380967660086814, 0.8859348643615953, 0.6107939927734671, -0.7917895543588875]",0
1,9,[0.54777115 0.83662821],"[0.7, 0.65, 0.7, 0.7735146919805054, 0.7343821132512749, 0.4802112908941514, 0.5112765602711647, -0.15142899853005393, 0.9884681372731166, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,10,[0.51767588 0.85557681],"[0.7, 0.65, 0.7, 0.48054318283508723, 0.4729440779660887, 0.5398398612803907, 0.5193333995837506, 0.6107939927734671, -0.7917895543588875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,11,[0.62592433 0.77988379],"[0.7, 0.65, 0.7, -0.058619851983657156, 0.3826470257347132, 0.5420548113507392, 0.5135293221346515, 0.6679830673467178, 0.7441764721744907, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,12,[-0.35637596  0.93434265],"[0.7, 0.65, 0.7, -0.179620047163757, -0.81947771818568, 0.46355879641613595, 0.44493617180129713, 0.9797008004191551, 0.20046531285503472, 0.7793295594127545, 0.6266142655777334, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,13,[0.54690714 0.83719328],"[0.7, 0.65, 0.7, -0.13595793573170156, 0.5364746430316547, 0.47837848480402195, 0.6437852796879164, -0.9990447918380209, 0.04369787067267256, -0.5537376557091602, -0.8326911844433825, 0.9842834609372297, 0.17659577720157704, 0.0, 0.0, 0.0, 0.0]",0
1,14,[0.50283903 0.86438007],"[0.7, 0.65, 0.7, 0.6760700564155242, -0.46140633609342285, 0.47489711546359265, 0.454462922963677, 0.9691962168532781, -0.24628985613965818, -0.6600206555977598, -0.7512474520318212, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
