Step,AgentID,NormDir,NeighborInfo,run
1,1,[-0.6602589  -0.75103807],"[0.5, 0.45, 0.3, 0.04004183177892884, -0.9747010135589984, 0.502824439530742, 0.49278427156630766, 0.9947011127852159, 0.10280902792971582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,2,[0.9956672  0.09298837],"[0.5, 0.45, 0.3, 0.4918969416302137, 0.3708763181029089, 0.5331763351119463, 0.4886700394693428, 0.9338458133828029, 0.3576758264510073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,3,[ 0.99825684 -0.05901929],"[0.5, 0.45, 0.3, 0.21221143249601804, -0.18398804192874896, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,4,[-0.48494869  0.8745426 ],"[0.5, 0.45, 0.3, -0.8907815245678348, 0.7323442026370386, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,5,[0.98382831 0.17911408],"[0.5, 0.45, 0.3, 0.9741391112308451, 0.37310871526594847, 0.48874086358296637, 0.5206321014349868, 0.9205223451863304, 0.3906899179818421, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,6,[ 0.95924018 -0.28259208],"[0.5, 0.45, 0.3, 0.7508027882144663, 0.45723331041361304, 0.4942494638132667, 0.4909247614318838, 0.5532323774490462, 0.8330269722776545, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,7,[-0.93523362 -0.35403118],"[0.5, 0.45, 0.3, -0.4752747788054956, -0.4856000658875639, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,8,[-0.68908337 -0.72468207],"[0.5, 0.45, 0.3, -0.04051262642960807, -0.4305747910729816, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,9,[-0.91530023 -0.40277225],"[0.5, 0.45, 0.3, -0.5583533038865656, 0.4951360880661295, 0.4789288670560975, 0.4437594235208459, -0.9998727981593314, -0.015949529805893536, -0.09228645820225853, -0.995732499033994, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,10,[ 0.99773837 -0.06721715],"[0.5, 0.45, 0.3, 0.7435722125714233, -0.1863573431053933, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
