Step,AgentID,NormDir,NeighborInfo,run
1,28,[0.80050894 0.59932081],"[0.9, 0.05, 0.7, 0.9705188036185237, 0.7032728476874619, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,29,[0.15210781 0.98836391],"[0.9, 0.05, 0.7, 0.0008514110659230134, 0.32080489937709955, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,30,[-0.30899867  0.95106247],"[0.9, 0.05, 0.7, -0.09921616752793372, 0.13853559677735894, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,31,[0.61242427 0.79052926],"[0.9, 0.05, 0.7, 0.2593033276462491, 0.4896587339592582, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,32,[ 0.53305477 -0.84608074],"[0.9, 0.05, 0.7, 0.28611027327085004, -0.5100846556374339, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,33,[-0.54241539 -0.84011044],"[0.9, 0.05, 0.7, -0.36343126622322464, -0.4699262814054441, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,34,[0.82786248 0.56093111],"[0.9, 0.05, 0.7, 0.8687958761448495, 0.8274898162977584, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,35,[ 0.91196911 -0.41025887],"[0.9, 0.05, 0.7, 0.6497847256364182, -0.34680914103976423, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,36,[0.99034209 0.13864541],"[0.9, 0.05, 0.7, 0.9486524676470076, 0.050749598130446216, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,37,[ 0.07449562 -0.99722134],"[0.9, 0.05, 0.7, 0.006192234142325281, -0.12535756456995295, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,38,[0.70406415 0.71013638],"[0.9, 0.05, 0.7, 0.5750613630805665, 0.47711641865337473, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,39,[-0.75888785  0.65122134],"[0.9, 0.05, 0.7, -0.8879541923261556, 0.7420799524752997, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1,40,[-0.59925286  0.80055981],"[0.9, 0.05, 0.7, -0.6416013347018721, 0.8879691567282058, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
2,1,[-0.39271937  0.91965836],"[0.9, 0.05, 0.7, -0.12145994140269822, 0.30629508079565126, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
